[RUN] id=20260213_230032 epochs=20 emb_dim=512 verif_interval=5000
[RUN] train_log_interval=1000 num_classes=85742
[RUN] train_log=logs/train/train_20260213_230032.log test_log=logs/test/test_20260213_230032.log
[RUN] torchao_int8=True
step=233000 epoch=8 loss=13.2446 acc=0.956860 lr=0.003
step=234000 epoch=8 loss=13.2524 acc=0.956802 lr=0.003
step=235000 epoch=8 loss=13.2590 acc=0.956734 lr=0.003
step=236000 epoch=8 loss=13.2683 acc=0.956660 lr=0.003
step=237000 epoch=8 loss=13.2756 acc=0.956572 lr=0.003
step=238000 epoch=8 loss=13.2831 acc=0.956495 lr=0.003
step=239000 epoch=8 loss=13.2888 acc=0.956426 lr=0.003
step=240000 epoch=8 loss=13.2941 acc=0.956380 lr=0.003
step=241000 epoch=8 loss=13.2998 acc=0.956328 lr=0.003
step=242000 epoch=8 loss=13.3051 acc=0.956287 lr=0.003
epoch=8 train_loss=13.3074 train_acc=0.956254 epoch_time=2840.8s ETA=09:28:09
step=243000 epoch=9 loss=12.1331 acc=0.958360 lr=0.0009
step=244000 epoch=9 loss=12.0258 acc=0.958661 lr=0.0009
step=245000 epoch=9 loss=11.9814 acc=0.958580 lr=0.0009
step=246000 epoch=9 loss=11.9491 acc=0.958593 lr=0.0009
step=247000 epoch=9 loss=11.9122 acc=0.958932 lr=0.0009
step=248000 epoch=9 loss=11.8871 acc=0.959039 lr=0.0009
step=249000 epoch=9 loss=11.8642 acc=0.959231 lr=0.0009
step=250000 epoch=9 loss=11.8390 acc=0.959316 lr=0.0009
step=251000 epoch=9 loss=11.8237 acc=0.959288 lr=0.0009
step=252000 epoch=9 loss=11.8123 acc=0.959351 lr=0.0009
step=253000 epoch=9 loss=11.8002 acc=0.959333 lr=0.0009
step=254000 epoch=9 loss=11.7887 acc=0.959381 lr=0.0009
step=255000 epoch=9 loss=11.7760 acc=0.959477 lr=0.0009
step=256000 epoch=9 loss=11.7707 acc=0.959468 lr=0.0009
step=257000 epoch=9 loss=11.7647 acc=0.959416 lr=0.0009
step=258000 epoch=9 loss=11.7543 acc=0.959461 lr=0.0009
step=259000 epoch=9 loss=11.7465 acc=0.959478 lr=0.0009
step=260000 epoch=9 loss=11.7450 acc=0.959442 lr=0.0009
step=261000 epoch=9 loss=11.7387 acc=0.959514 lr=0.0009
step=262000 epoch=9 loss=11.7337 acc=0.959548 lr=0.0009
step=263000 epoch=9 loss=11.7307 acc=0.959511 lr=0.0009
step=264000 epoch=9 loss=11.7254 acc=0.959503 lr=0.0009
step=265000 epoch=9 loss=11.7218 acc=0.959490 lr=0.0009
step=266000 epoch=9 loss=11.7178 acc=0.959469 lr=0.0009
step=267000 epoch=9 loss=11.7142 acc=0.959475 lr=0.0009
step=268000 epoch=9 loss=11.7117 acc=0.959474 lr=0.0009
step=269000 epoch=9 loss=11.7090 acc=0.959465 lr=0.0009
step=270000 epoch=9 loss=11.7063 acc=0.959446 lr=0.0009
step=271000 epoch=9 loss=11.7040 acc=0.959421 lr=0.0009
step=272000 epoch=9 loss=11.7024 acc=0.959422 lr=0.0009
epoch=9 train_loss=11.7000 train_acc=0.959413 epoch_time=2842.3s ETA=08:41:05
step=273000 epoch=10 loss=11.3412 acc=0.966009 lr=0.0009
